Stage,PVT Corner,WNS,TNS,WHS,THS
postsynth,tt_025C_1v80,7.427166437423693,0.0,3.095858847057542,0.0
postsynth,tt_100C_1v80,7.511389732428597,0.0,3.144575155822338,0.0
postsynth,ff_100C_1v65,8.156191277919334,0.0,2.490826711554206,0.0
postsynth,ff_100C_1v95,8.79210482196413,0.0,1.9595444711306698,0.0
postsynth,ff_n40C_1v56,7.3488286567169325,0.0,2.91549340225572,0.0
postsynth,ff_n40C_1v65,7.824104919507135,0.0,2.550921696098385,0.0
postsynth,ff_n40C_1v76,8.247863725330262,0.0,2.2434309965291277,0.0
postsynth,ff_n40C_1v95,8.7440970020225,0.0,1.874720101380234,0.0
postsynth,ss_100C_1v40,6.214575520857579,0.0,9.053446325957282,0.0
postsynth,ss_100C_1v60,4.004357290199323,0.0,6.420393661166202,0.0
postsynth,ss_n40C_1v28,-1.8217139796661286,-5.588137355516665,1.8296044679289025,0.0
postsynth,ss_n40C_1v35,-8.942519613697186,-2.0930419850628823,1.3475216498193276,0.0
postsynth,ss_n40C_1v40,-4.9181130279407625,-8.007295377865375,1.1249114972855523,0.0
postsynth,ss_n40C_1v44,-2.5810500403622427,-1.886633924641501,9.909010278974506,0.0
postsynth,ss_n40C_1v60,2.652361885679966,0.0,6.628263493624331,0.0
postsynth,ss_n40C_1v76,5.078990117368676,0.0,5.038378048105585,0.0
postplace,tt_025C_1v80,7.2713559617909596,0.0,3.088671263196119,0.0
postplace,tt_100C_1v80,7.379319377776028,0.0,3.1380514853296404,0.0
postplace,ff_100C_1v65,8.17903611505244,0.0,2.4735624659655286,0.0
postplace,ff_100C_1v95,8.819370123092085,0.0,1.955751532944916,0.0
postplace,ff_n40C_1v56,7.328288642582947,0.0,2.895942097236315,0.0
postplace,ff_n40C_1v65,7.838030668949614,0.0,2.544268962179075,0.0
postplace,ff_n40C_1v76,8.287778463511586,0.0,2.225947620670965,0.0
postplace,ff_n40C_1v95,8.794692085700717,0.0,1.8582518857002128,0.0
postplace,ss_100C_1v40,-1.6434764660289147,-1.3670709009261373,8.810571161532721,0.0
postplace,ss_100C_1v60,3.4928291370306397,0.0,6.240898908771442,0.0
postplace,ss_n40C_1v28,-2.04871657416561,-5.869941560376901,1.767090918036729,0.0
postplace,ss_n40C_1v35,-1.038494978899962,-1.9368119410501095,1.2988508046873903,0.0
postplace,ss_n40C_1v40,-6.131541496756654,-6.858147685306903,1.08780651153495,0.0
postplace,ss_n40C_1v44,-3.62593333136374,-1.2645307378988946,9.570630954414128,0.0
postplace,ss_n40C_1v60,1.9734960332584706,0.0,6.399304419701934,0.0
postplace,ss_n40C_1v76,4.607751957763639,0.0,4.851322121801616,0.0
postcts,tt_025C_1v80,7.241783617217834,0.0,3.020718120083643,0.0
postcts,tt_100C_1v80,7.351510511455217,0.0,3.07304848234935,0.0
postcts,ff_100C_1v65,8.149231511822563,0.0,2.4201335380169553,0.0
postcts,ff_100C_1v95,8.793385575245338,0.0,1.9075774293497716,0.0
postcts,ff_n40C_1v56,7.295580140009861,0.0,2.826174294590089,0.0
postcts,ff_n40C_1v65,7.804018764545617,0.0,2.480320393516422,0.0
postcts,ff_n40C_1v76,8.255623740183182,0.0,2.180718938760151,0.0
postcts,ff_n40C_1v95,8.76621886192197,0.0,1.8296586468125042,0.0
postcts,ss_100C_1v40,-2.3582380492825905,-2.030089873983343,8.837233167469094,0.0
postcts,ss_100C_1v60,3.4392408920780326,0.0,6.247525274893917,0.0
postcts,ss_n40C_1v28,-2.0631397035231203,-5.931266514380695,1.7412018493700998,0.0
postcts,ss_n40C_1v35,-1.0514933812544314,-1.978361751753255,1.2904357582499415,0.0
postcts,ss_n40C_1v40,-6.24235596546896,-7.19814693184162,1.0794479754494546,0.0
postcts,ss_n40C_1v44,-3.714310636837581,-1.4162958450469887,9.504791398384782,0.0
postcts,ss_n40C_1v60,1.9096626502346226,0.0,6.402929297877336,0.0
postcts,ss_n40C_1v76,4.567364708663035,0.0,4.802918063262496,0.0
postroute,tt_025C_1v80,5.614169129586344,0.0,2.9248514721302854,0.0
postroute,tt_100C_1v80,5.808608261048676,0.0,2.9846924931575813,0.0
postroute,ff_100C_1v65,6.760198623112501,0.0,2.3589785680400155,0.0
postroute,ff_100C_1v95,7.76156738879763,0.0,1.86527959744609,0.0
postroute,ff_n40C_1v56,5.268936842384164,0.0,2.7138924441061363,0.0
postroute,ff_n40C_1v65,6.119451168018486,0.0,2.390526665507764,0.0
postroute,ff_n40C_1v76,6.854450784743449,0.0,2.119233122321873,0.0
postroute,ff_n40C_1v95,7.664580081723216,0.0,1.7900064763765045,0.0
postroute,ss_100C_1v40,-4.901785644051415,-6.341936682474625,8.588898481320939,0.0
postroute,ss_100C_1v60,3.53189477664273,0.0,6.090303816819187,0.0
postroute,ss_n40C_1v28,-3.646461976813953,-1.557138421048876,1.6140693226418534,0.0
postroute,ss_n40C_1v35,-2.10158539459826,-7.570308753201971,1.2080831890415311,0.0
postroute,ss_n40C_1v40,-1.4480515453385578,-4.178029030299513,1.0158196506182549,0.0
postroute,ss_n40C_1v44,-1.0717863929698979,-2.4038695300987456,8.999265777021037,0.0
postroute,ss_n40C_1v60,-2.2383312980878145,-9.886905161238246,6.08410433144968,0.0
postroute,ss_n40C_1v76,1.6360788279712324,0.0,4.601310443774764,0.0
