PVT Corner,wns,tns,worst setup_slack,worst hold_slack
ff_100C_1v65,0.0000,0.0000,8.1562,0.2491
ff_100C_1v95,0.0000,0.0000,8.7921,0.1960
ff_n40C_1v56,0.0000,0.0000,7.3488,0.2915
ff_n40C_1v65,0.0000,0.0000,7.8241,0.2551
ff_n40C_1v76,0.0000,0.0000,8.2479,0.2243
ff_n40C_1v95,0.0000,0.0000,8.7441,0.1875
ss_100C_1v40,0.0000,0.0000,0.6215,0.9053
ss_100C_1v60,0.0000,0.0000,4.0044,0.6420
ss_n40C_1v28,-18.2171,-5588.1374,-18.2171,1.8296
ss_n40C_1v35,-8.9425,-2093.0420,-8.9425,1.3475
ss_n40C_1v40,-4.9181,-800.7295,-4.9181,1.1249
ss_n40C_1v44,-2.5811,-188.6634,-2.5811,0.9909
ss_n40C_1v60,0.0000,0.0000,2.6524,0.6628
ss_n40C_1v76,0.0000,0.0000,5.0790,0.5038
tt_025C_1v80,0.0000,0.0000,7.4272,0.3096
tt_100C_1v80,0.0000,0.0000,7.5114,0.3145
